City;Region;Country;AirQuality;WaterPollution;ph;Hardness;Solids;Chloramines;Sulfate;Conductivity;Organic_carbon;Trihalomethanes;Turbidity;Potability
Bloemfontein;Free State;South Africa;4.583.333.333;62.5;4.487.517.479.010.930;19.905.140.273.340.500;36.860.468.899.312.600;9.751.560.796.636.280;338.049.427.529.092;3.905.669.453.150.990;8.123.470.111.531.900;75.668.784.523.371;27.657.222.477.016.700;0
Besancon;;France;87.5;37.5;7.027.185.659.271.870;18.532.070.143.113.600;3.098.897.301.937.850;8.600.477.186.834.940;32.746.266.996.635.500;3.262.690.801.979.090;998.201.022.863.941;5.271.658.853.811.380;5.353.043.339.815.180;0
Port Vila;Shefa;Vanuatu;75;70;10.200.644.508.442.100;18.208.060.130.241.900;8.016.202.938.437.550;55.675.006.420.508.900;33.778.157.990.042.200;29.160.028.278.972.300;13.469.924.019.423.200;50.567.372.131.679.300;5.174.719.758.892.980;0
Milwaukee;Wisconsin;United States of America;7.906.976.744;4.329.268.293;6.784.279.329.300.360;14.036.670.861.252.400;1.756.957.981.864.570;4.084.932.416.197.640;;37.418.183.997.326.200;10.634.230.121.896.000;9.708.705.976.226.200;4.045.547.056.489.320;0
Sapporo;Hokkaido Prefecture;Japan;81.25;25;808.041.524.398.239;16.689.170.013.825.000;18.136.128.858.582.800;6.867.552.960.029.950;;6.009.372.030.330.940;1.630.779.008.749.950;55.586.141.732.364.100;4.070.824.291.566.870;0
Yangon;Yangon Region;Myanmar;1.759.259.259;78.5;;1.913.482.590.490.080;14.017.372.065.676.100;6.490.700.311.377.000;3.455.604.811.564.390;4.239.783.891.770.640;11.863.248.320.378.200;6.579.168.659.116.390;4.167.336.456.868.860;0
Nagasaki;Nagasaki Prefecture;Japan;3.333.333.333;6.666.666.667;7.344.975.869.046.360;18.230.694.217.406.800;5.689.804.404.872.830;6.764.349.993.180.450;37.387.278.500.525.400;3.601.844.730.557.160;2.048.390.229.703;7.348.898.065.084.010;34.187.631.946.436.300;0
Yokohama;Kanagawa Prefecture;Japan;75;2.916.666.667;5.923.739.954.690.040;200.561.212.598.199;3.330.601.253.765.960;7.430.037.412.770.900;;3.999.483.324.962.550;13.797.869.680.117.400;6.346.340.880.072.280;38.844.603.708.206.800;0
Angers;;France;100;25;8.285.395.274.908.010;19.655.206.780.599.000;1.909.682.236.947.590;73.578.572.545.432.000;3.429.368.809.897.120;38.894.116.300.743.100;14.151.473.071.718.100;7.318.701.322.910.550;5.438.487.906.597.950;0
Columbia;South Carolina;United States of America;6.607.142.857;5.227.272.727;594.951.876.406.115;16.044.263.125.887.400;16.898.808.297.192.700;6.045.906.439.607.800;3.673.285.416.831.000;45.101.278.841.833.700;16.359.951.099.329.400;6.236.823.391.884.990;4.072.197.621.614.660;0
Turku;;Finland;90;1.166.666.667;;19.220.216.811.021.900;3.416.092.514.352.120;8.963.155.528.278.780;3.634.727.979.482.550;4.747.817.344.225.260;15.905.270.431.900.000;5.080.782.511.660.740;29.983.354.715.810.400;0
Adana;Adana Province;Turkey;55;12.5;;21.599.711.663.155.800;3.597.102.511.348.580;1.003.050.815.644.370;33.085.892.653.323.000;558.108.549.013.308;14.337.804.381.879.700;8.176.977.525.321.630;29.341.370.013.330.800;0
Santa Fe;New Mexico;United States of America;8.928.571.429;3.863.636.364;5.296.578.803.810.230;2.200.808.324.081.120;3.953.708.646.010.250;9.232.766.061.940.330;32.243.359.180.720.300;39.338.860.326.875.000;10.583.336.152.737.200;5.880.146.948.488.680;39.184.698.008.316.800;0
Helena;Montana;United States of America;100;50;10.282.067.974.894.700;1.985.463.634.904.040;8.108.297.321.624.600;5.548.407.103.735.630;3.320.179.352.741.970;5.680.789.801.609.980;15.661.692.291.693.900;2.877.061.883.880.710;45.729.230.043.865.700;0
Suva;Central Division;Fiji;57.5;58.75;701.683.611.325.458;16.736.218.705.179.000;1.801.499.570.314.820;5.903.058.231.468.130;362.523.415.862.375;47.148.439.459.306.200;10.692.587.986.909.400;45.002.014.419.832.000;4.101.397.991.008.640;0
Maoming;Guangdong;People's Republic of China;25;50;6.871.607.245.014.960;19.751.709.338.436.000;1.955.799.372.436.910;831.134.872.749.755;3.550.872.579.059.650;37.950.773.853.152.800;18.240.711.615.825.800;656.942.303.934.959;4.180.389.311.503.930;0
Liuzhou;Guangxi;People's Republic of China;0;50;;21.417.232.983.223.600;8.985.911.807.108.880;72.979.726.595.691.300;;4.988.039.168.835.440;9.583.323.113.158.650;3.761.648.538.371.820;5.504.749.396.920.430;0
Cheyenne;Wyoming;United States of America;9.285.714.286;0;8.274.069.058.697.860;1.958.033.305.348.770;1.809.120.261.463.090;742.210.444.660.359;3.654.072.222.417.800;36.919.833.429.369.700;16.996.330.277.382.200;;25.754.230.277.099.100;0
Leeds;England;United Kingdom;5.367.647.059;1.964.285.714;8.238.878.989.445.270;1.982.134.051.416.800;11.451.312.217.210.600;53.089.895.602.046.900;3.093.294.234.572.410;4.010.637.636.598.360;13.243.329.279.142.400;8.119.771.042.934.010;2.784.712.796.717.900;0
Port of Spain;;Trinidad and Tobago;37.5;6.979.166.667;5.791.154.373.453.370;19.043.167.918.167.300;20.288.235.569.468.600;6.298.365.795.305.260;34.704.102.025.515.000;5.448.574.805.951.710;1.770.683.826.106.890;843.881.914.284.642;4.104.834.816.564.640;0
Bodo;Nordland;Norway;100;0;6.153.368.956.728.860;23.713.982.778.480.200;2.205.203.461.898.160;8.090.493.963.325.420;30.623.917.986.795.700;4.850.984.831.368.030;1.707.526.258.936.940;5.810.825.855.736.360;4.030.337.485.422.800;0
Sochi;Krasnodar Krai;Russia;75;4.285.714.286;7.303.051.906.328.310;19.695.287.516.726.000;2.205.301.026.214.270;5.392.692.829.400.880;3.052.215.636.071.630;45.160.592.395.435.700;1.466.556.052.806.630;7.171.077.867.727.010;4.144.869.940.408.150;0
Anchorage;Alaska;United States of America;90;18.75;7.592.672.300.075.480;17.708.083.947.966.900;1.491.222.550.624.180;6.041.143.671.607.490;34.924.061.445.133.900;35.528.444.229.142.600;17.161.966.066.690.900;42.115.256.925.159.900;33.414.267.280.659.600;0
Birkirkara;;Malta;1.785.714.286;6.428.571.429;67.841.161.148.075.100;18.960.834.666.312.700;1.273.686.500.142.570;5.935.771.844.008.350;;48.030.858.096.175.500;206.064.086.396.986;7.662.148.875.956.950;4.072.186.607.547.670;0
Des Moines;Iowa;United States of America;82.5;3.833.333.333;5.606.856.130.577.710;21.151.309.718.534.100;32.423.462.685.108.500;6.812.943.275.393.420;;44.638.640.359.860.800;20.926.950.178.989.800;52.218.978.737.459.100;4.070.966.098.496.000;0
Cannes;;France;75;25;;2.234.431.113.416.470;3.629.074.611.241.040;9.380.013.284.090.800;3.334.451.998.122.180;3.739.201.601.805.180;16.520.495.964.276.100;6.469.669.077.703.230;38.177.789.531.816.500;0
Hobart;Tasmania;Australia;9.285.714.286;2.105.263.158;4.922.045.466.248.690;19.728.720.656.204.400;3.849.472.024.569.310;9.144.953.298.114.430;383.239.138.292.495;3.574.707.042.141.210;1.312.594.167.071.550;61.864.579.653.329.900;2.291.694.536.023.170;0
Manaus;Amazonas;Brazil;31.25;4.642.857.143;5.700.784.947.291.590;1.859.222.470.685.820;2.736.510.636.262.940;7.563.100.468.517.470;;35.950.655.304.063.800;15.089.440.803.496.000;5.646.343.392.733.930;3.978.141.278.692.840;0
Springfield;Oregon;United States of America;25;50;;21.557.846.419.863.700;2.533.861.934.219.310;5.787.190.934.365.630;2.661.099.928.126.100;42.935.026.797.282.400;11.854.460.676.298.400;711.653.521.626.358;31.340.001.497.974.300;0
Porto Alegre;Rio Grande do Sul;Brazil;5.466.101.695;5.925.925.926;10.678.056.255.643.200;1.686.957.662.783.440;70.663.769.166.723.100;4.866.092.410.145.970;;3.276.586.443.803.130;16.296.688.483.167.800;4.667.248.258.533.260;4.308.256.960.674.530;0
Norman;Oklahoma;United States of America;100;25;76.021.214.747.799.800;19.935.316.552.769.700;11.346.143.452.721.600;6.900.379.647.327.510;3.049.664.881.421.140;21.031.918.197.203.600;17.925.782.394.769.800;62.846.672.633.452.100;36.988.747.689.394.200;0
Buffalo;New York;United States of America;7.708.333.333;3.695.652.174;884.628.195.691.071;18.841.500.063.590.300;17.734.949.625.157.600;6.057.867.647.319.610;3.171.505.445.057.650;4.193.955.690.592.320;17.115.446.767.167.700;6.025.157.823.210.820;29.250.375.580.069.800;0
San Fernando;Ilocos Region;Philippines;37.5;87.5;6.751.698.586.301.170;20.340.045.194.899.600;26.325.817.698.746.400;8.365.470.022.720.890;34.189.563.614.291.300;3.814.403.881.892.720;19.527.318.927.571.100;58.293.945.043.696.500;37.560.066.720.223.900;0
Tacloban;;Philippines;75;70;;1.481.031.294.610.110;13.597.896.037.808.500;5.733.147.893.867.960;3.740.183.113.969.150;35.771.106.011.102.900;13.278.895.953.233.400;7.269.549.913.994.680;36.195.906.349.692.600;0
Bursa;Bursa Province;Turkey;5.576.923.077;37.5;;2.020.798.644.763.470;12.519.090.659.913.500;762.752.384.206.607;;39.988.338.796.337.400;12.748.216.736.108.100;;443.921.523.990.166;0
Benghazi;;Libya;50;5.833.333.333;5.088.213.197.324.540;15.996.261.228.698.800;3.912.520.919.646.320;6.055.622.508.469.580;3.756.191.860.334.600;4.001.553.243.308.140;20.189.599.511.928.600;6.868.869.382.332.430;26.006.186.786.445.600;0
Tampere;;Finland;8.660.714.286;1.354.166.667;69.549.072.165.208.400;1.597.663.994.260.640;21.895.285.700.634.100;4.493.900.097.817.160;33.726.717.749.262.000;48.259.827.016.686.800;106.634.916.314.066;7.876.359.170.252.710;3.169.714.975.942.720;0
Carson City;Nevada;United States of America;100;50;8.983.811.794.161.650;2.046.485.151.840.760;15.158.721.747.534.400;8.645.881.893.419.110;;41.689.916.011.180.300;1.461.876.665.589.980;6.890.294.499.109.060;24.456.733.878.898.100;0
Nancy;;France;4.722.222.222;35;9.519.659.984.470.310;20.408.094.513.246.000;17.258.188.354.998.900;6.154.072.581.466.940;31.071.629.355.538.400;3.956.985.381.563.540;17.061.389.471.896.500;4.427.337.877.453.150;399.455.613.628.636;0
Honiara;;Solomon Islands;390.625;8.472.222.222;4.700.392.723.840.930;19.535.280.730.935.800;35.216.534.274.067.000;79.190.831.602.624.700;33.527.937.623.584.400;5.394.646.482.053.530;9.852.784.882.147.370;6.472.133.077.045.870;3.481.943.696.005.750;0
Topeka;Kansas;United States of America;81.25;56.25;10.386.132.934.434.600;20.089.119.241.184.400;1.798.238.725.646.970;5.845.501.641.338.500;3.389.992.736.864.430;33.627.970.707.624.300;1.431.941.120.798.750;6.215.668.614.059.150;49.213.406.247.862;0
Raleigh;North Carolina;United States of America;8.444.444.444;31.25;5.746.529.194.455.340;18.347.179.406.918.300;35.633.268.510.737.600;6.066.386.357.101.840;3.275.578.499.050.620;3.541.744.374.501.000;12.548.871.080.271.000;7.052.597.176.663.870;3.808.372.006.211.500;0
Aleppo;Aleppo Governorate;Syria;25;55;;1.929.703.798.010.060;11.125.443.536.741.700;49.549.231.765.651.900;32.475.818.371.446.900;33.295.629.802.121.800;15.164.574.140.798.200;7.926.457.468.709.690;4.699.120.987.045.170;0
Caen;;France;81.25;31.25;;24.895.465.513.321.500;25.253.079.062.408.400;8.921.733.174.905.690;2.968.210.342.978.560;48.284.693.913.195.900;1.414.225.093.266.200;6.910.401.166.102.990;39.410.738.320.696.100;0
Bydgoszcz;Kuyavian-Pomeranian Voivodeship;Poland;3.452.380.952;4.264.705.882;10.811.289.500.397.200;20.910.304.997.116.600;1.184.822.826.962.880;10.141.060.053.348.700;34.992.322.923.848.300;39.318.644.622.133.100;15.474.875.939.143.800;6.603.031.725.974.890;4.416.183.694.491.990;0
Nottingham;England;United Kingdom;546.875;3.863.636.364;8.966.835.972.567.800;22.869.135.473.127.200;1.676.485.476.462.530;7.137.871.354.061.040;32.055.599.454.817.000;4.564.264.885.282.390;1.259.999.831.402.960;7.733.013.702.016.310;36.543.549.623.702.500;0
Ulsan;;South Korea;27.5;37.5;;21.244.997.404.631.400;5.699.504.942.202.680;664.783.993.415.416;3.330.524.906.534.690;2.693.446.352.437.420;18.082.490.402.023.800;898.160.574.511.311;227.639.196.018.481;0
Linz;Upper Austria;Austria;6.176.470.588;27.5;6.848.805.452.540.460;20.481.271.080.146.200;205.555.595.722.516;9.775.004.066.265.410;38.768.638.765.720.000;38.963.822.785.521.200;12.298.753.224.346.000;4.945.204.623.583.030;31.300.447.628.523.700;0
St. George's;Saint George Parish;Grenada;55;25;8.861.701.556.503.950;20.061.229.861.795.400;15.247.128.030.884.500;6.050.225.266.127.890;31.312.708.140.471.700;5.217.741.144.719.570;13.780.426.739.099.000;6.987.048.423.586.890;35.791.072.422.859.000;0
Thoothukudi;Tamil Nadu;India;50;50;4.252.985.000.876.290;14.993.865.467.860.900;2.049.782.222.494.160;32.711.440.240.210.600;30.281.982.256.988.900;427.113.755.709.961;16.086.949.496.694.900;6.820.087.711.530.670;358.830.042.034.225;0
Mykolaiv;Mykolaiv Oblast;Ukraine;50;75;6.729.829.903.890.110;22.940.778.359.934.300;2.311.403.183.317.360;9.733.356.110.206.710;32.116.046.339.092.500;5.218.355.248.342.820;13.140.447.191.472.000;6.825.206.670.165.500;4.724.321.913.211.660;0
Amiens;;France;75;37.5;5.924.540.482.437.390;18.662.006.839.626.300;4.437.618.738.226.200;6.614.180.462.593.350;3.416.377.735.314.350;27.344.683.817.182.400;12.758.115.316.597.200;5.945.669.088.659.750;4.224.342.508.773.000;0
Haifa;Haifa District;Israel;1.796.875;5.462.962.963;6.783.888.467.541.530;19.365.358.060.131.500;1.367.710.644.058.590;5.171.453.573.375.090;3.237.286.632.332.800;47.785.468.725.780.300;15.056.064.094.821.400;;32.500.222.292.043.600;0
Castries;Castries Quarter;Saint Lucia;7.083.333.333;3.333.333.333;7.390.896.678.654.890;21.933.597.776.898.800;2.557.409.172.142.840;8.760.434.379.770.330;;5.530.576.632.213.970;1.773.037.118.589.410;6.059.843.160.814.360;432.513.164.451.923;0
Klagenfurt;Carinthia;Austria;7.142.857.143;1.666.666.667;6.470.151.959.152.820;17.673.637.570.597.800;3.059.428.067.473.660;439.313.814.981.189;32.465.923.341.898.000;5.249.097.809.286.850;16.614.247.513.308.900;8.429.970.286.763.690;31.253.911.119.248.300;0
Kansas City;Missouri;United States of America;7.674.418.605;4.451.219.512;6.930.391.469.669.390;19.018.938.780.328.600;25.780.059.077.000.500;6.259.352.880.963.180;33.103.025.147.231.700;4.817.375.593.111.370;1.404.948.263.854.150;705.863.604.845.371;36.997.960.364.086.300;0
Beersheba;Southern District;Israel;2.916.666.667;21.875;9.302.441.187.910.580;2.365.807.942.282.810;5.230.630.429.801.210;830.040.216.841.763;;36.789.756.289.774.200;1.286.399.233.724.460;18.101.222.170.724.300;36.759.854.978.305.000;0
Reims;;France;81.25;18.75;74.219.976.442.518.600;22.038.531.444.455.800;1.577.265.316.965.400;9.157.615.312.499.000;31.991.293.883.079.200;46.329.691.392.023.100;1.698.166.010.773.790;8.026.935.416.971.040;36.036.095.808.461.300;0
Sri Jayawardenepura Kotte;Western Province;Sri Lanka;75;75;6.583.064.855.827.960;16.336.160.354.126.400;1.797.769.393.789.560;6.542.088.000.055.950;;38.312.450.352.000.400;18.094.543.830.928.000;44.136.468.867.986.400;37.728.585.530.840.800;0
Talcahuano;Biobio Region;Chile;3.333.333.333;0;6.204.429.354.069.550;21.164.095.798.844.900;35.439.687.840.102.100;6.236.836.216.752.790;31.413.131.744.806.600;5.524.627.918.140.320;8.660.869.467.991.680;5.635.009.617.776.550;4.106.807.505.488.420;0
Szombathely;Vas County;Hungary;100;50;9.066.628.053.764.030;2.033.841.233.574.420;22.710.458.374.287.500;5.962.836.939.385.370;321.585.935.583.121;49.616.145.239.198.400;18.367.620.901.414.000;7.641.651.044.619.390;4.055.421.250.793.910;0
Isfahan;Isfahan Province;Iran;3.515.625;44;4.713.116.701.054.440;20.934.205.088.564.100;2.007.056.779.192.110;6.591.108.949.152.460;3.019.655.414.236.930;35.417.018.130.813.800;14.023.834.466.992.500;8.965.078.816.454.170;3.923.356.035.619.530;0
Gangneung;Gangwon Province;South Korea;25;50;10.581.385.987.628.200;2.137.764.386.430.200;11.298.450.090.961.000;7.668.897.441.408.550;3.001.846.216.565.560;49.716.912.814.048.700;1.797.129.471.576.400;8.334.530.446.606.000;2.966.945.650.593.860;0
Geoje;South Gyeongsang;South Korea;37.5;50;75.742.612.367.877.700;2.279.846.645.709.770;8.672.527.773.400.130;733.536.186.356.088;;4.336.795.425.189.580;11.238.913.670.655.100;5.486.588.904.451.010;36.867.589.826.723;0
Gwangyang;South Jeolla;South Korea;0;100;6.138.785.151.951.190;1.584.221.289.921.530;20.129.978.819.791.100;6.812.142.878.738.280;3.522.299.607.158.940;3.738.436.198.842.410;13.417.813.082.753.700;8.073.109.689.533.280;4.677.289.618.268.680;0
Gwangju;Gyeonggi Province;South Korea;4.166.666.667;0;5.276.323.544.024.680;18.638.259.033.476.700;4.206.387.440.465.930;6.862.988.074.575.320;3.198.379.854.103.830;3.120.025.326.122.220;189.644.180.949.158;7.139.897.597.610.200;3.883.029.041.117.390;0
Gumi;North Gyeongsang Province;South Korea;25;50;6.776.879.087.805.660;18.943.881.271.173.800;19.663.791.311.949.700;8.386.403.518.156.900;3.754.573.452.986.100;4.203.573.923.778.050;14.831.560.048.074.800;61.050.419.702.315.500;3.322.065.006.530.620;0
Gunsan;North Jeolla Province;South Korea;12.5;50;72.394.159.210.992.400;21.187.282.785.537.600;13.911.826.629.262.700;8.204.071.005.976.030;34.504.398.307.711.700;4.944.169.099.336.760;15.416.474.942.107.700;3.274.561.137.229.610;4.531.825.294.993.100;0
Gimcheon;North Gyeongsang Province;South Korea;25;50;6.552.279.123.020.950;19.054.767.798.640.700;15.362.452.383.441.200;6.928.597.412.765.150;35.631.797.483.917.300;35.306.365.905.373.600;14.896.210.357.189.700;;3.443.385.018.883.290;0
Mokpo;South Jeolla;South Korea;37.5;50;840.876.623.110.244;2.107.954.061.081.740;276.623.971.005.681;66.342.101.132.597.800;2.916.876.534.902.010;5.555.809.780.414.640;12.344.834.054.962.300;670.618.235.577.468;2.372.791.476.751.060;0
Gyeongju;North Gyeongsang Province;South Korea;25;50;7.986.398.705.504.570;20.209.393.984.374.800;2.044.749.013.156.470;5.689.518.473.675.120;;477.668.835.803.867;12.258.395.572.412.400;43.841.691.909.585.000;4.814.779.190.766.610;0
Bucheon;Gyeonggi Province;South Korea;10;0;73.669.152.841.286.300;1.850.435.966.854.510;14.151.760.083.229.800;5.584.369.157.426.570;3.245.704.590.928.800;3.369.568.673.447.200;15.233.825.865.303.800;4.999.703.388.737.540;3.051.316.562.922.500;0
Seosan;South Chungcheong Province;South Korea;37.5;50;6.062.738.419.015.510;22.484.118.059.890.800;25.842.581.279.366.500;946.339.068.688.187;;3.853.916.190.709.150;13.074.749.681.829.400;8.535.121.382.015.600;4.369.454.696.832.480;0
Seongnam;Gyeonggi Province;South Korea;12.5;50;7.856.471.100.461.370;20.478.342.811.191.300;5.619.135.557.865.840;5.816.703.197.883.760;3.435.454.193.290.750;4.320.431.197.634.570;14.947.720.392.496.300;5.596.161.317.869.340;4.534.681.098.281.890;0
Andong;North Gyeongsang Province;South Korea;25;50;5.158.396.409.506.490;18.929.578.865.279.500;3.508.639.696.295.490;67.361.180.268.094.800;34.087.181.907.360.000;3.315.867.257.915.910;12.909.797.813.297.800;6.134.466.370.036.790;4.645.852.434.791.940;0
Ansan;Gyeonggi Province;South Korea;3.333.333.333;25;;19.757.073.625.851.900;17.439.444.060.922.800;6.226.491.277.850.960;;4.060.147.938.783.550;16.690.265.724.955.200;6.896.901.781.677.810;34.583.200.005.897.700;0
Anyang;Gyeonggi Province;South Korea;7.5;5.833.333.333;639.908.051.004.593;2.300.279.325.865.120;23.037.076.832.776.300;10.517.848.492.663.700;3.160.725.606.007.630;4.529.744.802.793.640;13.625.533.230.753.800;;26.205.380.227.279.200;0
Yeosu;South Jeolla;South Korea;25;50;7.394.255.556.132.560;20.796.303.844.276.800;29.917.820.209.044.900;7.816.294.444.254.860;;3.924.966.652.745.750;13.173.426.262.726.300;7.978.043.755.763.540;426.319.277.247.499;0
Wonju;Gangwon Province;South Korea;12.5;50;4.443.850.856.498.070;2.401.679.011.693.040;24.070.263.650.635.400;9.768.406.488.617.060;3.380.524.372.173.980;5.339.686.469.612.030;11.877.581.684.861.100;690.365.227.600.328;5.038.118.946.233.020;0
Uijeongbu;Gyeonggi Province;South Korea;25;50;8.247.148.271.309.290;1.759.118.303.359.520;9.913.963.345.655.570;497.450.612.352.311;3.244.333.076.993.700;3.022.004.960.220.480;11.070.511.434.752.600;7.143.816.536.402.360;3.941.969.260.461.580;0
Icheon;Gyeonggi Province;South Korea;0;100;4.902.158.988.606.670;21.464.375.583.835.400;28.278.789.275.634.000;9.915.647.165.119.750;33.713.755.297.380.300;3.750.363.685.009.950;1.550.314.419.697.010;6.159.103.601.226.180;34.990.485.229.149.100;0
Jeonju;North Jeolla Province;South Korea;1.944.444.444;100;686.313.624.993.993;19.458.665.933.625.800;23.610.517.563.168.300;8.193.416.004.409.770;3.467.680.518.629.700;4.392.296.156.309.020;14.659.740.899.108.200;8.902.719.616.674.970;4.319.777.194.854.650;0
Jeju;Jeju Province;South Korea;50;6.071.428.571;66.695.323.796.655.400;190.751.164.895.691;16.246.173.191.143.000;6.372.975.147.661.250;32.434.189.329.335.200;3.832.458.249.968.390;7.852.085.540.481.930;8.644.056.051.532.440;19.648.630.966.312.200;0
Jecheon;North Chungcheong Province;South Korea;12.5;50;7.595.669.983.691.270;20.711.547.021.781.800;13.486.142.191.111.200;6.192.662.700.732.340;3.282.095.661.964.850;4.524.457.460.335.960;14.810.630.407.330.600;8.802.036.522.527.100;3.403.393.176.535.200;0
Cheonan;South Chungcheong Province;South Korea;25;50;816.307.638.255.827;18.316.185.283.853.600;20.335.676.509.585.400;6.028.559.416.620.540;33.308.445.479.723.700;47.529.647.082.572.900;18.248.097.886.030.000;49.604.842.402.550.400;3.287.243.970.810.310;0
Cheongju;North Chungcheong Province;South Korea;7.142.857.143;50;8.870.278.259.927.930;19.336.994.794.404.500;16.854.129.457.255.500;5.180.105.640.804.000;3.183.546.116.426.660;35.547.092.500.991.500;19.032.218.873.257.300;58.809.199.438.070.800;418.274.066.496.293;0
Chuncheon;Gangwon Province;South Korea;31.25;12.5;8.769.676.021.676.730;2.153.687.416.311.450;13.969.438.862.550.400;7.548.543.437.259.350;32.279.907.015.152.500;3.690.166.667.859.880;1.891.918.835.431.350;5.475.521.405.592.210;37.767.184.616.875.100;0
Pyeongtaek;Gyeonggi Province;South Korea;0;75;4.737.391.256.802.650;21.552.951.074.368.300;30.684.211.642.415.000;8.781.904.577.996.210;;31.351.350.201.495.200;11.070.289.045.614.700;629.144.208.045.654;38.533.880.722.545.000;0
Pohang;North Gyeongsang Province;South Korea;43.75;37.5;7.790.874.862.321.430;19.647.871.239.391.300;24.061.349.595.752.900;6.785.685.189.577.220;35.011.725.381.508.200;4.715.185.363.734.340;15.343.315.642.141.500;445.446.270.683.158;3.076.214.340.708.840;0
Clermont-Ferrand;;France;8.055.555.556;15;;2.384.095.980.755.220;2.649.307.620.652.810;8.669.944.102.585.770;31.155.367.904.139.800;3.692.838.638.747.580;11.759.930.454.455.700;912.392.992.027.705;32.412.671.866.611.300;0
Kharkiv;Kharkiv Oblast;Ukraine;5.205.882.353;5.873.493.976;6.087.306.100.000.080;21.455.608.597.404.800;11.628.336.675.478.400;7.231.926.684.912.570;;3.440.720.281.513.270;13.232.307.887.943.000;9.868.662.041.554.420;3.666.671.803.251.080;0
Sheffield;England;United Kingdom;7.023.809.524;2.794.117.647;76.512.942.259.202;2.007.170.513.198.390;11.699.133.549.843.900;6.648.272.780.493.360;34.925.544.481.084.400;42.082.836.218.685.300;18.863.817.480.730.100;5.290.885.102.166.160;32.580.416.465.868.800;0
York;England;United Kingdom;8.181.818.182;18.75;4.771.490.668.948.940;20.037.407.558.257.100;4.800.208.459.600.110;916.523.914.539.234;34.031.017.576.890.600;3.109.278.352.799.700;1.876.832.821.249.090;6.366.415.534.150.080;3.936.972.573.012.220;0
Suzhou;Jiangsu;People's Republic of China;2.196.969.697;7.321.428.571;;19.063.063.618.380.600;26.913.373.485.751.300;4.649.166.445.536.800;30.241.752.875.752.200;5.092.848.687.676.720;16.198.947.843.455.000;6.410.195.139.636.860;34.528.218.640.874.500;0
Wenzhou;Zhejiang;People's Republic of China;10;75;539.205.760.659.185;19.801.716.522.795.300;19.900.407.837.851.700;7.843.225.649.588.560;34.895.192.434.938.200;41.981.395.600.739.500;146.165.091.801.181;8.056.825.164.955.270;2.978.925.444.705.380;0
Wuxi;Jiangsu;People's Republic of China;12.5;87.5;5.477.283.049.476.330;16.543.609.335.155.500;29.046.083.515.231.100;5.523.010.780.807.940;3.708.930.850.920.210;4.887.745.947.823.070;17.265.186.340.258.400;8.023.479.707.714.100;63.574.385.200.674.200;0
Huzhou;Zhejiang;People's Republic of China;5;100;6.364.155.674.065.810;1.935.069.028.159.370;229.580.099.928.107;66.746.350.686.624;;4.321.943.572.726.640;1.627.182.497.172.820;6.457.685.130.910.520;4.764.412.041.610.860;0
Shaoxing;Zhejiang;People's Republic of China;0;50;;22.676.564.648.171.700;3.994.295.389.779.410;8.594.714.508.739.040;;5.386.218.031.101.070;1.374.474.872.214.760;;4.863.377.535.184.860;0
Saint-Etienne;;France;90;0;8.347.949.482.501.880;23.120.310.142.337.300;13.533.230.032.975.100;7.623.603.583.169.210;3.136.711.274.177.520;5.273.808.709.541.480;18.663.901.084.453.100;5.805.286.607.131.870;4.217.861.430.575.850;0
Olympia;Washington;United States of America;87.5;18.75;6.615.981.651.666.490;19.498.063.602.657.500;20.919.051.434.180.300;61.363.698.241.041.100;;3.831.220.570.399.750;968.437.637.766.965;41.337.774.960.759.000;46.357.091.265.213.300;0
Palikir;Pohnpei State;Federated States of Micronesia;100;100;8.312.379.503.092.340;2.037.445.475.058.500;8.727.247.349.356.960;74.563.022.582.930.800;;543.392.988.344.829;1.547.040.046.786.900;8.150.868.191.992.560;2.988.093.010.442.300;0
Santiago de los Caballeros;Santiago Province;Dominican Republic;35;6.666.666.667;6.836.224.938.677.600;16.674.296.159.202.600;24.293.172.662.812.000;6.861.235.191.713.020;3.328.815.818.756.820;3.908.049.552.883.850;1.600.699.084.141.720;8.710.192.477.874.360;3.666.613.685.710.390;0
Ningbo;Zhejiang;People's Republic of China;203.125;75;6.385.470.897.689.480;23.148.845.769.943.900;2.675.691.799.981.900;8.774.356.716.879.220;;4.220.677.005.293.160;16.563.116.383.698.400;7.326.063.979.628.230;4.681.716.653.309.840;0
Belo Horizonte;Minas Gerais;Brazil;51.171.875;4.745.762.712;6.490.037.174.928.900;20.554.151.716.952.500;19.397.323.888.893.300;7.894.244.798.435.490;3.685.610.730.195.570;4.797.861.954.284.080;1.580.508.483.352.710;5.698.201.953.997.930;2.430.883.294.085.320;0
Nimes;;France;75;50;;23.635.697.461.904.500;24.873.622.781.133.800;9.410.657.997.698.480;30.068.841.657.290.500;4.790.560.337.017.450;13.521.923.255.626.600;46.598.870.750.583.800;5.284.233.272.110.420;0
Le Havre;;France;75;25;664.884.918.609.138;1.816.881.220.667.940;3.073.350.383.761.230;596.127.222.367.226;34.392.522.231.141.300;2.577.041.794.322.700;1.775.844.368.068.320;35.296.181.418.536.300;4.827.527.398.066.650;0
Agra;Uttar Pradesh;India;2.361.111.111;6.982.758.621;;210.979.746.804.659;2.117.440.848.046.620;7.618.884.588.424.170;;572.743.407.158.898;15.110.848.887.224.900;9.025.245.503.627.780;4.217.553.378.155.110;0
